<<<<<<< HEAD
25120 33064

24984 32808

25128 32264

25000 32280

25000 32374

24492 32280

24992 32296

24496 32248

24984 32280

24752 32304

24244 32808

24140 32264

24496 32264

24144 32800

24240 32248

24244 32280

24736 32248

24128 32248

24247 32248

24496 31256

23736 32248

24000 31256

24136 31296

24240 31256

23744 31296

23720 31296

23192 32248

23752 31272

23192 32248

23736 31288

23248 31256

23248 31304

23232 31288

23240 32248

23244 30264

23248 32248

23192 30288

23208 31272

23704 31256

23192 31256

23192 32248

23192 30232

23192 32248

23192 29024

23192 29298

22226 31256

23192 31256

22408 30232

23192 30232

23192 30232

22230 31256

22231 29280

22216 31256

22416 29024

23192 30295

22168 30232

22422 29024

22184 29296

22200 29300

22231 29298

21080 29544

22168 30264

21704 29288

22168 29288

22168 30232

22168 29280

22168 28780

22168 29280

21232 29024

21360 28760

21480 29272

21688 29536

21360 29784

22168 29280

22168 29288

21237 29032

22168 29016

22168 28456

21088 28768

21239 29272

20648 28768

22168 28278

21360 28268

20716 29024

21416 28274

20952 28340

21296 28760

21424 26224

21238 28760

21100 28216

21688 28268

21160 28216

21168 28216

20588 28216

21160 27264

20968 27224

20407 28216

20968 28256

21224 27276

20952 28248

21088 28216

20712 27280

21224 27224

19944 26728

20183 28232

20952 27224

20400 27272

20936 28216

20972 26016

20704 27224

20936 27224

20720 27224

20183 27224

20168 27224

20704 26231

20088 28216

20584 26231

20183 26231

20176 25752

19960 26008

20406 26228

19976 26152

20168 26231

19960 27224

19944 25752

19976 27224

19688 25120

19704 25752

20168 25768

20183 26220

20088 26024

19688 25256

19688 25256

19944 25768

19976 26744

19720 25736

19176 24744

19712 25256

19672 25760

19728 25760

19176 25128

18568 24208

19672 25392

19160 25240

18568 24736

19160 25120

19192 24240

19216 25004

19160 25256

19160 25248

19160 24744

19160 24744

18167 24752

18568 24728

17952 24244

19176 23720

18568 24200

18696 23192

18391 23720

18080 24736

19160 24200

18696 23240

19216 24736

18088 23232

17672 24244

17960 23744

18167 24008

18160 23232

17944 24136

17952 23208

17448 23208

17656 23224

17928 23208

17142 23248

17688 23192

17140 23704

18160 23232

17688 23192

18167 22216

17672 23208

17140 23192

17688 23192

17944 22168

17688 22200

17944 23192

17672 21704

17128 22168

16688 22184

17268 22200

16920 22200

17656 22408

17056 23192

17204 22216

17136 23192

16247 22168

17656 22208

16688 22184

17048 20720

17128 22168

16180 22168

17048 21224

16375 21239

16616 21239

16616 21224

16616 21216

16120 20696

16552 20704

16136 21704

16928 21232

16536 20720

16375 20576

16368 21704

16180 20936

16120 22168

16552 20952

15688 20576

16120 20088

15672 22168

16136 20088

16120 21704

16136 20104

15184 20696

15640 20584

15656 20183

15640 20182

15672 21096

15128 19216

15128 21088

15640 20183

15640 20696

15640 21096

15640 18152

15128 19944

15168 19688

15160 19672

15128 19712

15128 20584

15128 18448

15128 19968

15128 19672

15160 19976

15128 19960

15128 20464

14356 20168

15128 19160

14167 19160

15128 19160

15128 19176

14520 19200

14167 19208

14520 19928

14104 19160

14164 19160

14167 19672

14120 19672

14104 19160

13367 19160

14536 19720

13096 18152

13352 19688

14359 18164

13367 19160

14167 18632

14104 19160

14104 17672

14104 18152

13352 17656

14104 17704

14104 19160

14104 18167

13111 18568

14104 18167

13624 18167

13624 17672

14104 17656

13364 17928

13032 19160

13366 17128

13624 18167

13239 18164

13096 17688

13080 17928

13352 17048

13104 18167

13175 17271

13111 16936

12656 17704

14104 17064

13175 17064

12663 17656

12568 17200

13110 16904

12104 18152

12340 17032

12584 17192

12592 16904

13172 17048

12596 16152

12663 16694

12336 17200

12584 16120

12343 16692

12520 16152

12215 16247

12088 16920

12584 16152

13000 16182

12343 16375

12872 15656

12872 16374

12088 16247

12663 16616

12088 16120

12343 15656

12136 17128

12214 16120

12088 16120

12120 15640

12088 15656

12088 16120

12088 15688

12104 16136

12104 15680

12088 16180

12215 16120

12088 16120

12144 16136

12088 16368

12088 16552

11223 15128

12088 16120

12104 15640

12088 16120

12088 16120

12088 15640

12088 16120

11096 15640

11112 15656

12088 16120

12088 15672

12088 15640

12088 15128

12088 15640

12088 15640

12088 15640

11222 14167

12088 15640

12088 15672

=======
0 19160
13096 19160
13096 19160
13032 19160
12888 19220
12343 19160
12663 19160
12343 19220
12592 19160
12663 19160
12336 18167
12856 19176
12343 18560
12328 18568
12584 18152
12343 19160
12148 18384
12215 19160
12088 18167
12336 18152
12151 18568
12144 18080
12136 18166
12144 18088
12343 18552
12088 18152
12088 18152
12088 18167
12088 17192
12088 17912
12088 17207
12088 17928
12088 17944
1208
24136 23744
24728 24728
24752 24306
24744 24016
23720 23992
23744 25768
2424¢š‚ÂÊÊ’
24200 23224
26028 23992
23736 24240
24200 25256
24144 23704
23756 23736
24008 25000
24000 24488
24744 24140
23760 23744
25000 23720
23752 25128
23240 23240
24016 23704
24246 24736
24012 22292
24208 24984
23192 24310
24992 24240
24140 23704
23704 24200
23720 24492
24744 23720
23720 23704
25256 23192
24428 24992
26512 24236
25000 23992
25248 25392
24246 23192
24016 24008
24754 24208
23752 24247
25260 23736
24008 24136
24992 24244
25736 24984
23704 24368
24240 24310
24748 23704
23248 24208
23704 25240
26008 23224
23240 25256
23992 23720
24246 23704
23704 24992
25000 23736
23232 24992
24748 24712
24984 24308
23720 24496
25128 23720
24244 23720
24204 23208
23976 25264
24752 23192
23992 24752
23720 24246
23720 24744
22224 24712
23720 23704
23254 23992
24428 24008
24000 23240
23992 24247
23208 24736
24736 24136
23720 23752
24616 23208
23192 24984
24752 23208
24984 23208
24310 25000
25512 23232
23704 24432
24428 23752
23720 23756
24428 23240
24608 23244
24752 23992
24496 25256
23720 24736
23704 22200
25256 23992
22216 25000
24240 23244
24008 24984
25768 24744
24748 23704
24128 24744
23992 24000
24432 25248
25264 23744
24244 23720
23992 24136
25120 23756
24736 24728
24140 24200
22230 23992
24432 23192
23192 23720
24000 25268
24012 23208
24728 23752
25128 24240
23192 24728
24136 23736
23736 24208
23252 25256
24736 24236
24128 23976
24247 24432
23720 23704
23976 23244
24016 24424
24240 23992
23244 24140
24310 25248
23992 23704
23704 24728
26008 24308
24432 25000
24496 24128
24240 23992
25512 23704
24244 24728
23208 23704
24492 23720
24616 23192
25752 24247
23192 24240
23752 23992
24144 24128
25128 24240
24728 25264
23704 24752
25512 24008
24736 24200
23240 24204
23252 24432
25128 23224
23208 24744
24136 23720
23976 24492
23252 23720
23992 24752
24200 23752
24008 23992
24000 23240
26024 25240
24428 25248
24752 23208
23752 24204
23976 23224
23992 24736
24736 23752
24200 23992
23752 24424
24736 24984
24728 25260
24136 23240
23192 23224
25504 23704
23752 25736
23744 24204
25736 24984
23976 23736
24736 23224
24000 24244
25120 24310
24242 24736
25120 23224
25120 23756
23224 24728
24434 24736
25388 24136
25752 24728
25000 23248
24200 23736
24240 24200
23704 24728
24242 24424
24308 25260
23720 23720
25256 24432
25004 23704
23252 25504
25328 24128
23224 24128
23720 24728
23976 23992
24208 23704
24012 25000
23720 24140
23736 23736
24496 23208
23744 23992
24496 24244
24496 23720
23232 23752
24308 24308
24204 25000
25256 25240
24008 24728
24136 24008
23760 24128
24128 24984
24992 24012
24200 23248
24000 24200
24432 23192
23254 23224
23760 23752
23192 23192
23752 24136
23760 24240
24208 24136
23992 24136
24608 23744
22231 23704
25776 24488
23240 23744
24736 25268
24496 23240
25264 24728
23736 23736
23736 25000
24984 24144
22224 23248
23255 23232
24247 23736
24736 24428
23720 24000
24204 23992
23744 23744
24012 23736
26224 24008
23992 24200
24240 23756
24140 25256
24240 23752
23704 24008
23192 23192
24752 24428
23992 24008
24140 24744
23992 24428
23192 25270
24728 24424
23248 25248
23704 23744
24756 24136
23736 24496
24984 24000
23232 24000
23736 23192
25132 24140
23192 23208
25264 24728
24728 23192
23192 23752
23704 24748
22416 23752
23192 24144
24311 24000
24012 23752
23192 23704
24000 23752
23192 24008
23240 23736
25248 24744
23992 23248
23208 23192
24244 24752
24000 23752
24008 24432
24308 23704
24748 24368
23192 24128
23992 23720
23192 23192
24016 24008
23736 25256
23992 23232
25248 24424
24247 24488
24000 23992
24616 23720
24496 24240
24200 24200
25264 24016
23208 25000
23192 24244
23752 24204
23255 24008
23720 24984
23752 23704
23736 24000
23232 24008
23992 23192
22224 24244
24128 23704
23192 24128
23976 23744
22216 23224
23240 24008
23736 23224
24016 23704
23240 24136
23192 24200
23248 24008
23736 23752
23720 23992
23255 24000
24308 24136
24736 24136
24008 24000
24236 24736
22416 24008
23752 24488
23255 23744
23752 24136
24311 24008
23736 24728
24992 23756
25128 23704
24000 23752
24736 23992
23240 25256
24204 24728
23240 23704
23720 23736
24240 25000
24200 24240
23744 23224
23720 24744
24308 23704
23192 24244
24992 24008
24136 24728
23720 24488
24736 25000
24128 24128
23760 23224
23192 23704
24428 23720
23192 24247
24736 24984
24616 23720
23992 23720
23232 23248
24728 23224
23224 23192
24128 23992
24992 23720
25128 24136
23760 24432
24008 24000
25000 24200
23192 23752
23704 23192
24012 23736
24016 24308
23992 23704
24616 23192
24424 24728
24748 24992
24208 23704
22200 24492
25264 24728
22184 24728
24136 24200
24008 24012
23720 24144
23736 25128
23976 24752
23992 23192
23736 23720
23992 24992
23232 24128
23752 23744
23252 24008
25776 25392
23240 24240
24736 24752
24428 24208
23224 25120
24246 24310
23244 23224
24736 23704
23232 23744
23760 24728
23250 23736
24012 24744
23756 24728
23736 23720
24136 24728
23248 25736
24308 24000
24240 23992
24128 24008
24744 24728
22480 24200
23224 23232
23704 25240
23752 25000
23192 23720
23704 23992
24424 24247
24128 23704
23756 24000
24140 23752
24136 24488
23976 23704
21704 24308
24984 24744
23720 25256
23208 23224
23720 24748
23704 25000
25128 23752
23208 24488
24140 23992
23192 24136
24008 24744
23240 25256
23232 24008
24436 24000
25392 25264
22168 23720
23752 24128
23192 24144
23992 24432
24016 23744
23232 22208
24012 24736
24136 24728
25128 23720
23760 24496
23192 24008
23976 24432
22292 24428
23208 24128
23192 23744
22168 23224
24200 24244
23208 24012
23240 24136
22200 23224
23192 23976
23720 24244
23192 23208
23744 24008
23232 23720
23992 24200
23756 23736
23232 23976
23736 23736
23240 24140
23192 24744
24752 25752
24432 25256
22418 23992
24008 23704
24136 23232
23704 24136
23720 25000
23736 26008
22416 23192
23704 23744
23192 24246
24244 24992
23992 25240
23192 23992
24756 24128
23192 23704
23252 23744
23704 24984
23254 25248
23208 25248
23704 24200
24240 23704
23248 23744
23752 25000
23192 24428
23224 23756
24012 24000
24428 23248
24496 25768
24247 23240
23736 24244
22168 24136
24200 24128
23992 23208
23720 24136
23192 24240
23976 24136
24128 25752
23736 24736
23192 24984
23704 23704
24200 24144
23208 24208
24204 24728
23232 23720
23736 24136
23192 23744
23244 24128
23224 23752
23760 24432
23704 24736
23744 24247
23720 24000
23720 24240
23704 24012
23704 23704
25128 24008
23208 23704
24728 24016
23208 24242
23192 23736
24728 24208
24244 24728
23752 24240
23208 24200
23976 24308
23232 24140
23752 24204
23240 23992
22408 23752
23232 24144
24140 24744
23224 24008
23976 24012
24136 23240
23192 24992
23704 23192
23736 24752
22184 23756
23704 23992
23720 23240
23992 24984
23704 24728
24242 23756
23208 23756
23192 23704
23248 24128
23720 25752
23760 24008
23192 25128
23192 24200
23736 24000
23992 25736
23736 23756
24992 24008
22168 23736
23192 23992
22420 24244
23208 23756
24136 23992
25000 24984
23248 24728
24144 23752
23704 25504
24000 23224
23720 23232
23192 25000
23208 23752
24984 23720
23232 23720
22168 23992
23744 23192
23224 24984
23992 25264
23208 23752
23704 24240
23192 23752
23704 23224
23992 24984
23192 24246
24128 24008
24000 24200
23704 24128
23704 24128
24200 23720
23224 24012
24496 23208
23736 23736
24432 23736
23752 24008
24016 24012
24000 23240
22184 23992
23252 22292
24432 23752
24136 24140
23744 23704
24240 23736
24308 24200
24432 24200
23704 23224
23704 24984
24144 24432
24208 23192
22292 23192
22184 24008
23192 23736
23976 24744
23248 24728
23232 24136
24000 23704
23704 24432
23992 23752
23248 23736
23232 23224
23736 24244
23736 24744
24984 25266
24736 24128
23248 24244
23224 23704
23720 26230
23248 23736
22482 24008
23192 24000
24012 24000
23720 24128
24736 24008
23744 23752
23704 23992
23704 25000
24000 24008
23192 23736
23240 24144
23192 24728
23255 24247
24200 24008
23720 23992
23704 24136
24136 24012
24616 23704
23192 25004
23252 23992
23192 24432
23752 23752
23208 24008
23704 23760
24008 23992
23192 24240
23704 24200
23240 23232
24748 23736
23208 23192
24616 24000
23244 23736
24432 23736
23992 23192
23752 24008
23192 24728
23736 23240
23992 23744
24012 24008
23192 24008
24208 23736
24712 24000
24744 24008
23736 23704
23992 23704
23192 23208
24008 24000
23992 23720
23992 23736
23192 22224
23704 24008
23252 23224
24244 24012
24984 23992
23192 23224
22231 23192
24608 23704
22408 22228
24008 24736
24136 24012
23704 24244
24136 24432
24140 24496
23208 23240
23976 23224
25256 24136
24436 23192
24424 23736
23992 23752
24432 23192
23704 23744
24144 23736
23744 25256
23192 23244
23208 23192
23720 23232
22168 23720
23720 24000
23248 23240
23752 23208
24496 23240
23704 23752
23240 23736
23254 23192
24752 23992
24736 23192
23250 23244
23720 24136
24736 24000
23192 23240
23704 23192
23240 24208
23192 24144
23704 24140
23240 22184
24012 22216
23736 23704
24984 24428
23720 23720
21704 24748
23255 24200
23192 24432
23704 23240
23240 23704
23192 23720
23192 24992
24496 23240
24992 23752
22231 23192
24200 23192
23224 23744
24428 23752
24984 23192
22216 23992
23992 22295
24208 24136
23192 22168
23736 22168
23720 23240
23192 23752
23704 23720
24432 23704
23704 23232
23192 24008
23192 23208
24136 23744
24496 23736
23192 23208
23760 23736
25760 23224
24128 24136
24008 23208
23192 22224
25132 24136
22224 23208
24000 23240
23255 23192
23240 23704
23992 23192
24136 23704
23244 24728
23752 23704
23240 23192
24136 23248
22295 23192
23720 22228
23704 23744
24140 22168
22168 23232
24128 23704
24744 23232
24008 23208
24008 22200
24008 23248
24492 23192
24984 23232
23704 23992
24008 23224
23744 23232
23192 23192
23744 23192
24984 23224
24984 23240
24756 23240
23208 23192
23224 23736
23720 23208
23208 23720
23192 23752
24240 23208
23255 23192
23756 24136
23224 23752
24200 24246
23720 24208
24200 23192
25120 23192
23192 23192
23192 23208
23192 23224
24136 24240
23192 23248
24736 23756
24208 23704
24000 23736
23704 22292
23192 23208
23736 23720
24208 23192
23248 24136
24208 23192
23976 23224
23744 23192
22480 23720
23760 23224
24144 23224
23752 23720
24136 24744
23704 23736
24128 23208
23744 24244
24432 23744
24240 24008
24608 23992
24204 22231
23232 23240
24136 23192
24432 25752
23244 24136
24008 23992
24247 24736
24754 23224
22416 23756
23704 23192
23704 23704
25004 23192
23976 23248
23248 24728
23192 23192
24008 22231
23704 23720
23240 23736
24240 22200
23192 24748
22216 23208
24008 23192
23192 22292
24240 23192
23192 24488
23240 23224
24208 25000
24728 23704
24140 23192
23240 22216
23704 24488
22294 23244
24208 23192
23720 22168
23192 24488
23240 23208
23992 23224
23232 23992
23992 24008
24752 23208
23192 23192
24432 23704
23232 23704
23720 24984
23720 23240
23744 24736
24200 23240
23192 22216
23192 23248
23704 23192
23244 23736
23736 22216
23752 23736
23720 23192
23736 23224
24436 23240
23704 24000
23992 23232
24752 24128
24140 23192
23192 24008
24128 24432
24200 23208
23232 23976
25000 23224
22292 24432
24744 24000
23736 22184
23704 22216
23744 23704
23192 22224
23720 23736
24247 24744
23232 24128
23992 23240
23976 23704
23208 23192
22230 23224
24728 23240
22294 23720
24204 24008
22420 22208
23760 23208
24424 24728
23192 22168
24128 23744
23248 23240
24744 23720
23232 23208
24984 24240
22408 23192
24204 23192
23720 23192
23704 23240
23744 23240
23756 23192
23192 23192
23976 24136
23192 23240
22168 23192
23704 23720
23208 23720
23192 23192
23232 23720
22168 23192
23192 23208
22295 23224
23704 23208
24012 23736
22231 22230
22208 23752
23756 24240
23192 23192
24012 23224
